song_id,title,artist,genre,mood,energy,tempo_bpm,danceability,acousticness,valence
1,Sunrise Pulse,Astra Nova,pop,happy,0.82,124,0.88,0.12,0.91
2,Midnight Letters,Paper Hearts,indie,sad,0.34,92,0.42,0.71,0.28
3,Thunder Run,Neon Riot,rock,intense,0.93,148,0.61,0.05,0.57
4,Loft Window,Lofi Harbor,lofi,calm,0.27,78,0.49,0.86,0.52
5,City Bounce,Metro Loop,hip-hop,confident,0.74,102,0.84,0.18,0.68
6,Glass Horizon,Velvet Tide,rnb,romantic,0.56,96,0.73,0.33,0.64
7,Northern Lights Echo,Synth Atlas,electronic,euphoric,0.88,130,0.9,0.09,0.79
8,Campfire Stars,Pine & String,folk,nostalgic,0.31,84,0.36,0.9,0.59
9,Afterimage,Koi Circuit,edm,energetic,0.97,138,0.93,0.04,0.72
10,Quiet Rain Station,Moon Type,jazz,calm,0.22,72,0.4,0.79,0.47
11,Grit and Gold,Iron Avenue,country,hopeful,0.58,108,0.62,0.45,0.74
12,Signal Fire,Crimson Avenue,metal,aggressive,0.99,165,0.44,0.02,0.33
13,Tidal Slowdance,Blue Room,dream-pop,romantic,0.41,90,0.57,0.63,0.69
14,Paper Lanterns,Zen Garden,ambient,peaceful,0.16,66,0.28,0.94,0.5
15,Voltage Parade,Pixel Tigers,hyperpop,excited,0.91,152,0.92,0.08,0.83
16,Golden Hour Drive,Velour Coast,soul,warm,0.52,98,0.69,0.39,0.76
17,Monsoon Step,Diaspora Beat,afrobeats,joyful,0.79,112,0.87,0.21,0.88
18,Night Market Drift,Lotus Wire,phonk,dark,0.67,118,0.8,0.14,0.35
19,Sandstorm Sketches,Oasis Mode,world,adventurous,0.63,106,0.71,0.3,0.67
20,Orbit Bloom,Prism Kids,k-pop,playful,0.86,128,0.89,0.11,0.84
